Conexiones activas de Internet (servidores w/o)
Proto  Recib Enviad Dirección local         Dirección remota       Estado      
tcp        0      0 192.168.0.150:33687     a172-229-167-11.d:https ESTABLECIDO
tcp        0      0 192.168.0.150:59063     198.8.71.239:http       TIME_WAIT  
tcp        0      0 192.168.0.150:44058     ec2-52-25-98-110.:https TIME_WAIT  
tcp        0      0 192.168.0.150:45159     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:34392     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:33564     ec2-54-236-158-240:http ESTABLECIDO
tcp        0      0 192.168.0.150:49453     104.25.169.18:http      ESTABLECIDO
tcp        0      0 192.168.0.150:55147     179.6.255.24:http       TIME_WAIT  
tcp        0      0 192.168.0.150:49458     104.25.169.18:http      TIME_WAIT  
tcp        0      0 192.168.0.150:39507     179.6.254.162:http      TIME_WAIT  
tcp        0      0 192.168.0.150:37246     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:37200     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:45160     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:58442     179.6.255.40:https      ESTABLECIDO
tcp        0      0 192.168.0.150:39502     179.6.254.162:http      TIME_WAIT  
tcp        0      0 192.168.0.150:52665     mia07s34-in-f66.1e:http ESTABLECIDO
tcp        0      0 192.168.0.150:41415     179.6.254.145:http      ESTABLECIDO
tcp        0      0 192.168.0.150:59063     198.8.71.239:http       TIME_WAIT  
tcp        0      0 192.168.0.150:44058     ec2-52-25-98-110.:https TIME_WAIT  
tcp        0      0 192.168.0.150:45159     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:34392     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:33564     ec2-54-236-158-240:http ESTABLECIDO
tcp        0      0 192.168.0.150:49453     104.25.169.18:http      ESTABLECIDO
tcp        0      0 192.168.0.150:55147     179.6.255.24:http       TIME_WAIT  
tcp        0      0 192.168.0.150:49458     104.25.169.18:http      TIME_WAIT  
tcp        0      0 192.168.0.150:39507     179.6.254.162:http      TIME_WAIT  
tcp        0      0 192.168.0.150:37246     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:37200     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:45160     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:58442     179.6.255.40:https      ESTABLECIDO
tcp        0      0 192.168.0.150:39502     179.6.254.162:http      TIME_WAIT  
tcp        0      0 192.168.0.150:52665     mia07s34-in-f66.1e:http ESTABLECIDO
tcp        0      0 192.168.0.150:41415     179.6.254.145:http      ESTABLECIDO
udp        0      0 localhost:52564         localhost:52564         ESTABLECIDO
Activar zócalos de dominio UNIX (servidores w/o)
Proto RefCnt Flags       Type       State         I-Node   Ruta
unix  18     [ ]         DGRAM                    10404    /dev/log
unix  3      [ ]         SEQPACKET  CONECTADO     17512    @00026
unix  3      [ ]         FLUJO      CONECTADO     17634    
unix  3      [ ]         FLUJO      CONECTADO     15860    
unix  3      [ ]         FLUJO      CONECTADO     14995    
unix  3      [ ]         FLUJO      CONECTADO     12272    
unix  3      [ ]         FLUJO      CONECTADO     57541    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     15140    
unix  3      [ ]         FLUJO      CONECTADO     15139    @/tmp/.ICE-unix/2684
unix  3      [ ]         FLUJO      CONECTADO     15862    
unix  3      [ ]         FLUJO      CONECTADO     16794    
unix  3      [ ]         FLUJO      CONECTADO     15725    
unix  3      [ ]         FLUJO      CONECTADO     15957    @/tmp/dbus-qntOaF7e
unix  3      [ ]         FLUJO      CONECTADO     14551    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     16968    
unix  3      [ ]         FLUJO      CONECTADO     15952    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     14620    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     14202    
unix  3      [ ]         FLUJO      CONECTADO     11598    /var/run/acpid.socket
unix  3      [ ]         FLUJO      CONECTADO     23971    
unix  3      [ ]         FLUJO      CONECTADO     17442    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     15282    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     14583    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     15810    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     15080    @/tmp/dbus-bLcrvscOCi
unix  3      [ ]         FLUJO      CONECTADO     15869    
unix  3      [ ]         FLUJO      CONECTADO     10562    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     16972    
unix  3      [ ]         FLUJO      CONECTADO     15951    
unix  3      [ ]         FLUJO      CONECTADO     14663    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     13768    
unix  3      [ ]         FLUJO      CONECTADO     16796    
unix  3      [ ]         FLUJO      CONECTADO     15726    
unix  3      [ ]         FLUJO      CONECTADO     15026    /run/user/1000/pulse/native
unix  3      [ ]         FLUJO      CONECTADO     24235    
unix  3      [ ]         FLUJO      CONECTADO     14579    
unix  3      [ ]         FLUJO      CONECTADO     14255    @/tmp/dbus-bLcrvscOCi
unix  3      [ ]         FLUJO      CONECTADO     16958    @/tmp/dbus-bLcrvscOCi
unix  2      [ ]         DGRAM                    11508    
unix  3      [ ]         FLUJO      CONECTADO     15727    
unix  3      [ ]         FLUJO      CONECTADO     15981    
unix  3      [ ]         FLUJO      CONECTADO     14535    
unix  3      [ ]         FLUJO      CONECTADO     17459    
unix  3      [ ]         FLUJO      CONECTADO     15276    
unix  2      [ ]         DGRAM                    15823    
unix  2      [ ]         DGRAM                    10542    
unix  3      [ ]         FLUJO      CONECTADO     15137    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     14703    /var/run/dbus/system_bus_socket
